"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2024-12-15T16:00:00.000Z,"169","16",20,8,0
2024-12-15T17:00:00.000Z,"170","16",20,8,0
2024-12-15T18:00:00.000Z,"171","16",20,8,0
2024-12-15T19:00:00.000Z,"172","16",20,8,0
2024-12-15T20:00:00.000Z,"172","16",20,8,0
2024-12-15T21:00:00.000Z,"172","16",20,8,0
2024-12-15T22:00:00.000Z,"172","16",20,8,0
2024-12-15T23:00:00.000Z,"172","16",20,8,0
2024-12-16T00:00:00.000Z,"171","16",20,8,0
2024-12-16T01:00:00.000Z,"171","16",20,8,0
2024-12-16T02:00:00.000Z,"171","16",20,8,0
2024-12-16T03:00:00.000Z,"170","16",20,8,0
2024-12-16T04:00:00.000Z,"169","16",20,8,0
2024-12-16T05:00:00.000Z,"168","16",20,8,0
2024-12-16T06:00:00.000Z,"168","16",20,8,0
2024-12-16T07:00:00.000Z,"167","16",20,8,0
2024-12-16T08:00:00.000Z,"167","16",20,8,0
2024-12-16T09:00:00.000Z,"167","16",20,8,0
2024-12-16T10:00:00.000Z,"167","16",20,8,0
2024-12-16T11:00:00.000Z,"166","16",20,8,0
2024-12-16T12:00:00.000Z,"164","16",20,8,0
2024-12-16T13:00:00.000Z,"161","16",20,8,0
2024-12-16T14:00:00.000Z,"157","16",20,8,0
2024-12-16T15:00:00.000Z,"151","16",20,8,0
2024-12-16T16:00:00.000Z,"148","16",20,8,0
2024-12-16T17:00:00.000Z,"149","16",20,8,0
2024-12-16T18:00:00.000Z,"153","16",20,8,0
2024-12-16T19:00:00.000Z,"159","16",20,8,0
2024-12-16T20:00:00.000Z,"166","16",20,8,0
2024-12-16T21:00:00.000Z,"171","16",20,8,0
2024-12-16T22:00:00.000Z,"174","16",20,8,0
2024-12-16T23:00:00.000Z,"178","16",20,8,0
