"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2024-12-11T00:00:00.000Z,"137","16",20,8,0
2024-12-11T01:00:00.000Z,"135","16",20,8,0
2024-12-11T02:00:00.000Z,"133","16",20,8,0
2024-12-11T03:00:00.000Z,"132","16",20,8,0
2024-12-11T04:00:00.000Z,"130","16",20,8,0
2024-12-11T05:00:00.000Z,"129","16",20,8,0
2024-12-11T06:00:00.000Z,"128","16",20,8,0
2024-12-11T07:00:00.000Z,"127","16",20,8,0
2024-12-11T08:00:00.000Z,"126","16",20,8,0
2024-12-11T09:00:00.000Z,"126","16",20,8,0
2024-12-11T10:00:00.000Z,"128","16",20,8,0
2024-12-11T11:00:00.000Z,"130","16",20,8,0
2024-12-11T12:00:00.000Z,"131","16",20,8,0
2024-12-11T13:00:00.000Z,"132","16",20,8,0
2024-12-11T14:00:00.000Z,"132","16",20,8,0
2024-12-11T15:00:00.000Z,"131","16",20,8,0
2024-12-11T16:00:00.000Z,"131","16",20,8,0
2024-12-11T17:00:00.000Z,"130","16",20,8,0
2024-12-11T18:00:00.000Z,"130","16",20,8,0
2024-12-11T19:00:00.000Z,"129","16",20,8,0
2024-12-11T20:00:00.000Z,"128","16",20,8,0
2024-12-11T21:00:00.000Z,"128","16",20,8,0
2024-12-11T22:00:00.000Z,"127","16",20,8,0
2024-12-11T23:00:00.000Z,"126","16",20,8,0
2024-12-12T00:00:00.000Z,"125","16",20,8,0
2024-12-12T01:00:00.000Z,"125","16",20,8,0
2024-12-12T02:00:00.000Z,"124","16",20,8,0
2024-12-12T03:00:00.000Z,"123","16",20,8,0
2024-12-12T04:00:00.000Z,"123","16",20,8,0
2024-12-12T05:00:00.000Z,"122","16",20,8,0
2024-12-12T06:00:00.000Z,"121","16",20,8,0
2024-12-12T07:00:00.000Z,"121","16",20,8,0
2024-12-12T08:00:00.000Z,"120","16",20,8,0
2024-12-12T09:00:00.000Z,"119","16",20,8,0
2024-12-12T10:00:00.000Z,"118","16",20,8,0
2024-12-12T11:00:00.000Z,"118","16",20,8,0
2024-12-12T12:00:00.000Z,"117","16",20,8,0
2024-12-12T13:00:00.000Z,"116","16",20,8,0
2024-12-12T14:00:00.000Z,"116","16",20,8,0
2024-12-12T15:00:00.000Z,"115","16",20,8,0
2024-12-12T16:00:00.000Z,"115","16",20,8,0
2024-12-12T17:00:00.000Z,"115","16",20,8,0
2024-12-12T18:00:00.000Z,"114","16",20,8,0
2024-12-12T19:00:00.000Z,"114","16",20,8,0
2024-12-12T20:00:00.000Z,"113","16",20,8,0
2024-12-12T21:00:00.000Z,"113","16",20,8,0
2024-12-12T22:00:00.000Z,"111","16",20,8,0
2024-12-12T23:00:00.000Z,"107","16",20,8,0
2024-12-13T00:00:00.000Z,"104","16",20,8,0
2024-12-13T01:00:00.000Z,"101","16",20,8,0
2024-12-13T02:00:00.000Z,"99.8","16",20,8,0
2024-12-13T03:00:00.000Z,"98.7","16",20,8,0
2024-12-13T04:00:00.000Z,"98.2","16",20,8,0
2024-12-13T05:00:00.000Z,"97.5","16",20,8,0
2024-12-13T06:00:00.000Z,"97.1","16",20,8,0
2024-12-13T07:00:00.000Z,"96.7","16",20,8,0
2024-12-13T08:00:00.000Z,"96.1","16",20,8,0
2024-12-13T09:00:00.000Z,"95.6","16",20,8,0
2024-12-13T10:00:00.000Z,"95.3","16",20,8,0
2024-12-13T11:00:00.000Z,"94.8","16",20,8,0
2024-12-13T12:00:00.000Z,"94.4","16",20,8,0
2024-12-13T13:00:00.000Z,"93.8","16",20,8,0
2024-12-13T14:00:00.000Z,"93.1","16",20,8,0
2024-12-13T15:00:00.000Z,"92.6","16",20,8,0
2024-12-13T16:00:00.000Z,"92.0","16",20,8,0
2024-12-13T17:00:00.000Z,"91.4","16",20,8,0
2024-12-13T18:00:00.000Z,"90.9","16",20,8,0
2024-12-13T19:00:00.000Z,"90.4","16",20,8,0
2024-12-13T20:00:00.000Z,"90.3","16",20,8,0
2024-12-13T21:00:00.000Z,"90.3","16",20,8,0
2024-12-13T22:00:00.000Z,"90.2","16",20,8,0
2024-12-13T23:00:00.000Z,"89.7","16",20,8,0
2024-12-14T00:00:00.000Z,"89.4","16",20,8,0
2024-12-14T01:00:00.000Z,"88.9","16",20,8,0
2024-12-14T02:00:00.000Z,"88.6","16",20,8,0
2024-12-14T03:00:00.000Z,"88.0","16",20,8,0
2024-12-14T04:00:00.000Z,"87.5","16",20,8,0
2024-12-14T05:00:00.000Z,"87.3","16",20,8,0
2024-12-14T06:00:00.000Z,"86.9","16",20,8,0
2024-12-14T07:00:00.000Z,"86.5","16",20,8,0
2024-12-14T08:00:00.000Z,"86.3","16",20,8,0
2024-12-14T09:00:00.000Z,"86.1","16",20,8,0
2024-12-14T10:00:00.000Z,"85.9","16",20,8,0
2024-12-14T11:00:00.000Z,"85.7","16",20,8,0
2024-12-14T12:00:00.000Z,"85.5","16",20,8,0
2024-12-14T13:00:00.000Z,"85.3","16",20,8,0
2024-12-14T14:00:00.000Z,"85.1","16",20,8,0
2024-12-14T15:00:00.000Z,"84.9","16",20,8,0
2024-12-14T16:00:00.000Z,"84.8","16",20,8,0
2024-12-14T17:00:00.000Z,"84.6","16",20,8,0
2024-12-14T18:00:00.000Z,"84.3","16",20,8,0
2024-12-14T19:00:00.000Z,"84.2","16",20,8,0
2024-12-14T20:00:00.000Z,"84.1","16",20,8,0
2024-12-14T21:00:00.000Z,"84.4","16",20,8,0
2024-12-14T22:00:00.000Z,"85.5","16",20,8,0
2024-12-14T23:00:00.000Z,"87.1","16",20,8,0
2024-12-15T00:00:00.000Z,"89.0","16",20,8,0
2024-12-15T01:00:00.000Z,"90.7","16",20,8,0
2024-12-15T02:00:00.000Z,"92.1","16",20,8,0
2024-12-15T03:00:00.000Z,"93.2","16",20,8,0
2024-12-15T04:00:00.000Z,"93.7","16",20,8,0
2024-12-15T05:00:00.000Z,"93.9","16",20,8,0
2024-12-15T06:00:00.000Z,"94.0","16",20,8,0
2024-12-15T07:00:00.000Z,"94.4","16",20,8,0
2024-12-15T08:00:00.000Z,"96.2","16",20,8,0
2024-12-15T09:00:00.000Z,"101","16",20,8,0
2024-12-15T10:00:00.000Z,"107","16",20,8,0
2024-12-15T11:00:00.000Z,"113","16",20,8,0
2024-12-15T12:00:00.000Z,"116","16",20,8,0
2024-12-15T13:00:00.000Z,"117","16",20,8,0
2024-12-15T14:00:00.000Z,"117","16",20,8,0
2024-12-15T15:00:00.000Z,"118","16",20,8,0
2024-12-15T16:00:00.000Z,"118","16",20,8,0
2024-12-15T17:00:00.000Z,"118","16",20,8,0
2024-12-15T18:00:00.000Z,"118","16",20,8,0
2024-12-15T19:00:00.000Z,"118","16",20,8,0
2024-12-15T20:00:00.000Z,"118","16",20,8,0
2024-12-15T21:00:00.000Z,"118","16",20,8,0
2024-12-15T22:00:00.000Z,"118","16",20,8,0
2024-12-15T23:00:00.000Z,"117","16",20,8,0
2024-12-16T00:00:00.000Z,"117","16",20,8,0
2024-12-16T01:00:00.000Z,"116","16",20,8,0
2024-12-16T02:00:00.000Z,"115","16",20,8,0
2024-12-16T03:00:00.000Z,"115","16",20,8,0
2024-12-16T04:00:00.000Z,"116","16",20,8,0
2024-12-16T05:00:00.000Z,"116","16",20,8,0
2024-12-16T06:00:00.000Z,"116","16",20,8,0
2024-12-16T07:00:00.000Z,"116","16",20,8,0
2024-12-16T08:00:00.000Z,"113","16",20,8,0
2024-12-16T09:00:00.000Z,"110","16",20,8,0
2024-12-16T10:00:00.000Z,"104","16",20,8,0
2024-12-16T11:00:00.000Z,"98.4","16",20,8,0
2024-12-16T12:00:00.000Z,"94.6","16",20,8,0
2024-12-16T13:00:00.000Z,"95.3","16",20,8,0
2024-12-16T14:00:00.000Z,"102","16",20,8,0
2024-12-16T15:00:00.000Z,"112","16",20,8,0
2024-12-16T16:00:00.000Z,"120","16",20,8,0
2024-12-16T17:00:00.000Z,"125","16",20,8,0
2024-12-16T18:00:00.000Z,"128","16",20,8,0
2024-12-16T19:00:00.000Z,"131","16",20,8,0
2024-12-16T20:00:00.000Z,"133","16",20,8,0
2024-12-16T21:00:00.000Z,"137","16",20,8,0
2024-12-16T22:00:00.000Z,"141","16",20,8,0
2024-12-16T23:00:00.000Z,"144","16",20,8,0
